id,total,estante,n_ingreso,code,title,author,editorial,position,room,,,,,,,,,,,,,,,
337,31,2 / A,11866,780/ C359   E:1,Sobre la Música, seis libros,"San Agustín; Introducción, traducción y notas de Jesús Luque Moreno y Antonio López Eisman",Editorial Gredos,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
338,32,2 / A,11898,780 / C377   E:1,Sobre el fundamento de la Música, cinco libros,"Boecio; introducción, traducción y notas de Jesus Luque, Francisco Fuentes, Carlos López, Pedro R. Díaz y Mariano Madrid.",Editorial Gredos,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
339,33,2 / B,5610,808 .88 / A42,El Libro de Saladino,"Ali, Tariq",Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
340,34,2 / B,5627,808 .88 / A42L,La mujer de piedra,"Ali, Tariq",Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
341,35,2 / B,5662,808 .88 / A46,Breve historia de la literatura española,"Carlos Alvar, José-Carlos Mainer y Rosa Navarro",Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
342,36,2 / B,5452,808.88 / A55,Para que nada se pierda,"Amoraga, Carmen",Alianza  Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
343,37,2 / B,5460,808.88 / A62,Botas de cuero español,"Antolín Rato, Mariano",Alianza  Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
344,38,2 / B,5550,808.88 / A79,Estoy en puertomarte sin Hilda y otros cuentos,"Asimov, Isaac",Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
345,39,2 / B,5606,808.88 / A87,Resurgir,"Atwood, Margaret",Alianza Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
346,40,2 / B,5457,808.88 / B24,Paseos por Madrid,"Barga, Corpus : Edición de Arturo Ramoneda",Alianza  Editorial,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
347,41,2 / B,5573,808.88 / B34,El innombrable,"Beckett, Samuel",Alianza Editorial,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
348,42,2 / B,5589,808.88 / B34M,Malone muerte,"Beckett, Samuel",Alianza Editorial,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
349,43,2 / B,5524,808.88 / B82,El interrogatorio de Lúculo, El alma buena de Sezuán, El señor puntila y su criado Matti,"Brecht, Bertolt",Alianza Editorial,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,
350,44,2 / B,5525,808.88 / C28,El delfín,"Cardoso Pires, José : Traducción de Javier Casanova",Alianza Editorial,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
351,45,2 / B,5552,808.88 / C32M  Vol.1,"Los mejores cuentos policiales, 1",Selección de Adolfo Bioy Casares y Jorge Luis Borges,Alianza  Editorial:Emecé,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
352,46,2 / B,5590,808.88 / C32M  Vol.2,"Los mejores cuentos policiales, 2",Selección de Adolfo Bioy Casares y Jorge Luis Borges,Alianza Editorial,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
353,47,2 / B,5539,808.88 / C38,Antología Poética,"C. P. Cavafis : Selección, traducción del griego, introducción y notas de Pedro Bádenas de la Peña",Alianza Editorial,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
354,48,2 / B,5582,808.88 / C68,Cuentos de la taberna del ciervo blanco,"Clarke, Arthur C.",Alianza Editorial,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
355,49,2 / B,5618,808 .88 / C81A,El agente secreto,"Conrad, Joseph :Prólogo y traducción de Alberto Adell",Alianza Editorial,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
356,50,2 / B,5563,808.88 / D11,El amante de Lady Chatterley,D. H. Lawrence : Traducción de Francisco Torres Oliver,Alianza Editorial,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
357,51,2 / B,5607,808.88 / D47,Lejos de Medina,"Djebar, Assia",Alianza Editorial,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
358,52,2 / B,5640,808 .88 / E41,Tiempo de un centenario,"Eliade, Mircea",Alianza Editorial,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
359,53,2 / B,5601,808.88 / F55,A este lado del paraíso,"Fitzgerald, F. Scott : Traducción de Juan Benet Goitia",Alianza Editorial,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
360,54,2 / B,5626,808 .88 / F55H,Hermosos y malditos,"Fitzgerald, F. Scott : Traducción de José Luis López  Muños",Alianza Editorial,22,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
361,55,2 / B,5599,808.88 / F75,Maurice,"Forster, E. M. Introducción de P. N. Furbank",Alianza Editorial,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
362,56,2 / B,5511,808.88 / G59,El señor de las moscas,"Golding, Willian",Alianza Editorial,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
363,57,2 / B,5602,808.88 / G59E,El dios escorpión,"Golding, Willian",Alianza Editorial,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
364,58,2 / B,5521,808.88 / G77,"Yo, Claudio","Graves, Robert",Alianza Editorial,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
365,59,2 / B,5522,808.88 / G77C,Claudio el dios y su esposa Mesalina,"Graves, Robert",Alianza Editorial,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
366,60,2 / B,5575,808.88 / G79,El tercer hombre,"Greene, Graham",Alianza Editorial,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
367,61,2 / B,5588,808.88 / G79N,Nuestro hombre en la habana,"Greene, Graham",Alianza Editorial,29,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
368,62,2 / B,5557,808.88 / J79,Retrato del artista adolescente,"Joyse, James : Traducción de Dámaso Alonso",Alianza Editorial,30,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
369,63,2 / B,5561,808.88 / J79D,Dublineses,"Joyse, James : Traducción de Guillermo Cabrera Infante",Alianza Editorial,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
370,64,2 / B,5611,808 .88 / K49,Lo que Sueñan Los Lobos,"Khadra, yasmina",Alianza Editorial,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
371,65,2 / B,5609,808.88 / K72,La hora estelar de los asesinos,"Kohout, Pavel",Alianza Editorial,33,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
372,66,2 / B,5614,808.88 / L21G,El Gatopardo,"Lampedusa ,Di Giuseppe Tomasi",Alianza Editorial,34,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
373,67,2 / B,5546,808.88 / M11,Las escalas de levante,"Maalouf, Amin",Alianza Editorial,35,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
374,68,2 / B,5572,808.88 / M11E,El viaje de badassare,"Maalouf, Amin",Alianza Editorial,36,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
375,69,2 / B,5571,808.88 / M11L,Los jardines de luz,"Maalouf, Amin",Alianza Editorial,37,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
376,70,2 / B,5537,808.88 / M22,Amlet,"Manguel, Alberto : Antología del relato fantástico",Alianza Editorial,38,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
377,71,2 / B,5548,808.88 / M22T,La torre de la soledad,"Manfredi, Valerio",Alianza Editorial,39,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
378,72,2 / B,5592,808.8 / M58,El tiempo de los asesinos,"Miller, Henry",Alianza Editorial,40,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
379,73,2 / B,5538,808.88 / M223,Las puertas del paraíso,"Manguel, Alberto : Antología del relato erótico",Alianza Editorial,41,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
380,74,2 / C,5560,808.88 / N16,Jan Aljalili,Naguib Mahfuz,Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
381,75,2 / C,5577,808.88 / N16C,El cairo nuevo,Naguib Mahfuz,Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
382,76,2 / C,5529,808.88 / R18,Cartas a un joven poeta,Rainer Maria Rilke : Traducción y nota preliminar de José Maria Velarde,Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
383,77,2 / C,5510,808.88 / S17,El guardián entre el centeno,J. D. Salinger,Alianza Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
384,78,2 / C,5638,808 .88 / S17E,El guardián entre el centeno,J. D. Salinger,Alianza Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
385,79,2 / C,5568,808.88 / S17F,Franny y Zooey,J. D. Salinger,Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
386,80,2 / C,5535,808.88 / S174,Nueve cuentos,J. D. Salinger,Alianza Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
387,81,2 / C,5600,808.88 / T22,A la sombra del granado,Tariq Alí,Alianza Editorial,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
388,82,2 / C,5576,808.88 / V21,El cementerio marino ( Edición bilingúe),"Valéry, Paul : Versión castellana de Jorge Guillén",Alianza Editorial,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
389,83,2 / C,5531,808.88 / V61,La espuma de los días,"Vian, Boris",Alianza Editorial,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
390,84,2 / C,5543,808.88 / V61C,Con las mujeres no hay manera,"Vian, Boris",Alianza Editorial,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
391,85,2 / C,5629,808 .88 / V61H,Las hormigas,"Vian, Boris",Alianza Editorial,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
392,86,2 / C,5622,808 .88 / W44,La guerra de los mundos,"Wells,Herbert George",Alianza Editorial,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
393,87,2 / C,5653,808 .88 / W57,Antología bilingúe,"Williams, Willian Carlos : Selección, introducción y traducción de Juan Miguel López Merino",Alianza Editorial,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
394,88,2 / C,5586,808.88 / Y44,Antología bilingúe,W. B Yeats : Introducción y traducción de Enrique Caracciolo Trejo,Alianza Editorial,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
395,89,2 / C,5467,808.88 / A39,Antología Poética,"Aleixandre, Vicente : Estudio previo, selección de Leopoldo de Luis",Alianza  Editorial,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
396,90,2 / C,5443,808.88 / B24,Cuentos,"Baroja, Pío",Alianza  Editorial,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
397,91,2 / C,5459,808.88 / B24F,La feria de los discretos,"Baroja, Pío",Alianza  Editorial,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
398,92,2 / C,5434,808.88 / C46,La colmena,"Cela, Camilo José: Prólogo de Gonzalo Sobejano",Alianza  Editorial,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
399,93,2 / C,5448,808.88 / C48,Antologia Poética,"Cernuda, Luis : Selección e introducción de Philip W. Silver",Alianza  Editorial,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
400,94,2 / C,5465,808.88 / D48,La mortaja,"Delibes, Miguel :Prólogo de Miguel Ángel Pastor",Alianza  Editorial,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
401,95,2 / C,5453,808.88 / D48V,Viejas historias de Castilla la vieja,"Delibes, Miguel",Alianza  Editorial,22,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
402,96,2 / C,5450,808.88 / D68,Shakespeare y los siete pecados capitales,"Díaz-Plaja, Fernando",Alianza  Editorial,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
403,97,2 / C,5474,808.88 / D71E,El español y los  siete pecados capitales,"Díaz-Plaja, Fernando ; dibujos de: Mingote",Alianza  Editorial,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
404,98,2 / C,5478,808.88 / D75,Antología Poética,"Diego, Gerardo : Selección de Francisco Javier Díez de Revenga",Alianza  Editorial,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
405,99,2 / C,5471,808.88 / G66,Antología Poética,"González, Ángel : Selección de autor : Introducción de Luis Izquierdo",Alianza  Editorial,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
406,100,2 / C,5480,808.88 / H43,El rayo que no cesa,"Hernández, Miguel ; Prólogo de: Jorge Urrutia",Alianza Editorial,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
407,101,,5462,808.88 / H51,Antología poética,"Hierro, José : selección y prólogo de José OlivioJiménez",Alianza Editorial,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
408,102,2 / C,5458,808.88 / J54,Antología Poética,"Jiménez, Juan Ramón : Prólogo y seleccion de Antonio Colinas",Alianza  Editorial,29,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
409,103,2 / C,5475,808.88 / M13,"Juan de Mairena : Sentencias, donaires, apuntes y recuerdos de un profesor apócrito (1936)","Machado, Antonio",Alianza  Editorial,30,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
410,104,2 / C,5670,808 .88 / M13P,Poesía,"Machado, Antonio",Alianza Editorial,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
411,105,2 / C,5461,808.88 / M56,Tres sombreros de copa  ¡Sublime decisión !,"Mihura, Miguel : Introducción y notas de Antonio Ramoneda",Alianza  Editorial,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
412,106,2 / C,5435,808.88 / M84,Vidas de mujer,Prólogo y selección de Mercedes Monmany,Alianza  Editorial,33,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
413,107,2 / C,5469,808.88 / O86,Antología Poética : Expresión y reunión,"Otero, Blas de :Introducción, notas y fijación del texto por Sabina de la Cruz",Alianza  Editorial,34,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
414,108,2 / C,5477,808 .88 / P43,El síndrome de Estocolmo,"Pereira, Antonio",Alianza  Editorial,35,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
415,109,2 / C,5509,808.88 / R68,La Vorágine,"Rivera, José Eustasio : Edición de Alejandro Gonzáles Segura",Alianza Editorial,36,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
416,110,2 / C,5456,808.88 / S67,La ventana pintada,"Somoza, José Carlos",Alianza  Editorial,37,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
417,111,2 / C,5437,808.88 / T72   Vol.1,Los gozos y las sombras: 1. El señor llega,"Torrente Ballester, Gonzalo",Alianza  Editorial,38,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
418,112,2 / C,5438,808.88 / T72   Vol.2,Los gozos y las sombras: 2. Donde da la vuelta el aire,"Torrente Ballester, Gonzalo",Alianza  Editorial,39,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
419,113,2 / C,5439,808.88 / T72   Vol.3,Los gozos y las sombras: 3. La pascua triste,"Torrente Ballester, Gonzalo",Alianza  Editorial,40,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
420,114,2 / C,5444,808.88 / V23,Sonata de primavera,"Valle-Inclán, Ramón del",Alianza  Editorial,41,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
421,115,2 / C,5664,808 .88 / B24,Breve historia de la literatura inglesa,"Barnard, Robert",Alianza Editorial,42,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
422,116,2 / C,5492,808.88 / A83,Hombres de maíz,"Asturias, Miguel Angel",Alianza Editorial,43,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
423,117,2 / C,5485,808.88 / C78  T. 1,"Los relatos, 1 Ritos","Cortázar, Julio",Alianza Editorial,44,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
424,118,2 / C,5486,808.88 / C78  T. 2,"Los relatos, 2 Juegos","Cortázar, Julio",Alianza Editorial,45,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
425,119,2 / C,5487,808.88 / C78  T. 4,"Los relatos, 4 Ahí y ahora","Cortázar, Julio",Alianza Editorial,46,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
426,120,2 / C,5502,808.88 / C82,Octaedro,"Cortázar, Julio",Alianza Editorial,47,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
427,121,2 / C,5484,808 .88 / CH522,Conversaciones con Alejo Carpentier,"Chao, Ramón",Alianza Editorial,48,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
428,122,2 / C,5488,808.88 / D25,Poesía,Darío Rubén,Alianza Editorial,49,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
429,123,2 / C,5497,808.88 / D254,Cuentos fantásticos,Darío Rubén : Selección y prólogo de José Olivio Jiménez,Alianza Editorial,50,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
430,124,2 / D,5507,808.88 / D25A,Azul...,Darío Rubén : Edicción de Arturo Ramoneda carta- prólogo de Juan Valera,Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
431,125,2 / D,5669,808 .88 / D25P,Prosas profanas,Darío Rubén : Edicción de José Olivio Jiménez,Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
432,126,2 / D,5504,808.88 / H44,Martín fierro,"Hernández, José : Estudio preliminar y notas de Santiago M. Lugones",Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
433,127,2 / D,5482,808.88 / G14,Amares ( Antología de relatos ),"Galeano, Eduardo",Alianza Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
434,128,2 / D,5483,808.88 / G14D,Días y noches de amor y de guerra,"Galeano, Eduardo",Alianza Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
435,129,2 / D,5501,808.88 / G92,Sóngoro cosongo y otros poemas,"Guillén, Nicolás : Selección del autor",Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
436,130,2 / D,5489,808.88 / J53,Antología de la poesía hispanoamericana contemporánea 1914 -1987,"Jiménez, José Olivio",Alianza  Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
437,131,2 / D,5508,808.88 / M43,Antología crítica de poesía moderna hispanoamericano,Mercedes Serna Arnaiz  : Bernat Castany Prado,Alianza Editorial,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
438,132,2 / D,5494,808.88 / M84,Cuentos,"Monterroso, Agusto",Alianza Editorial,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
439,133,2 / D,5481,"808,88 / N44",Veinte Poemas de Amor y una canción desesperada,"Neruda, Pablo; Prólogo de: Jorge Edwards",Alianza Editorial,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
440,134,2 / D,5490,808.88 / N44A  Vol.1,"Antología Poética, 1","Neruda, Pablo; Selección y guías de lectura de Hernán Loyola",Alianza Editorial,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
441,135,2 / D,5491,808.88 / N44A  Vol.2,"Antología Poética, 2","Neruda, Pablo; Selección y guías de lectura de Hernán Loyola",Alianza Editorial,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
442,136,2 / D,5496,808.88 / O52,Juntacadáveres,"Onetti, Juan Carlos",Alianza Editorial,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
443,137,2 / D,5499,808.88 / O93A Vol.1,Antología crítica del cuento hispanoamericano del Siglo XX : 1. Fundadores e innovadores,Selección de José Miguel Oviedo,Alianza Editorial,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
444,138,2 / D,5500,808.88 / O93A Vol.2,Antología crítica del cuento hispanoamericano del Siglo XX : 2. La gran síntesis y después,Selección de José Miguel Oviedo,Alianza Editorial,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
445,139,2 / D,5495,808.88 / V23,Antología Poética,"Vallejo, César : Prólogo y selección de José Miguel Oviedo",Alianza Editorial,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
446,140,2 / D,5663,808 .88 / P36,Calderón Vida y teatro,"Pedraza Jiménez, Felipe B.",,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
447,141,2 / D,5503,808.88 / F89,Cuerpos y ofrendas,"Fuentes, Carlos : Prólogo de Octavio Paz",Alianza Editorial,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
448,142,2 / D,5668,808 .88 / G98,Introducción al teatro griego,"Guzmán Guerra, Antonio",Alianza Editorial,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
449,143,2 / D,5643,808 .88 / L32,El nuevo dardo en la palabra,"Lázaro Carreter, Fernando",Alianza Editorial,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
450,144,2 / D,5498,808.88 / M56,Poesía completa,"Martí, José : Edición de Carlos Javier morales",Alianza Editorial,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
451,145,3 / D,5667,808 .88 / N29,Escenas cervantinas,"Navarro Durán, Rosa",Alianza Editorial,22,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
452,146,4 / D,5493,808.88 / O93,Antología crítica del cuento hispanoamericano del Siglo XIX,Selección de José Miguel Oviedo,Alianza Editorial,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
453,147,5 / D,5463,808 .88 / H26,Cuentos Completos,"Martín Gaite, Carmen",Alianza Editorial,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
454,148,2 / D,5665,808 .88 / S17L,Literatura española Siglo XX,"Salinas, Pedro",Alianza Editorial,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
455,149,2 / D,5666,808 .88 / S27,La infancia recuperada,"Savater, Fernando",Alianza : Taurus,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
456,150,2 / D,5505,808.88 / S68,Antología Poética,Sor Juana Inés de la Cruz,Alianza Editorial,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
457,151,2 / D,5680,838.95 / M22S,"Schopenhauer, Nietzsche, Freud","Mann, Thomas : Traducción y nota preliminar de Andrés Sánchez Pascual",Alianza  Editorial,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
458,152,2 / E,4635,292.13 / N29,Mitos del mundo clasico,"Navarro Duran, Rosa",Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
459,153,2 / E,4606,808.0683 / B25,Peter Pan,"Barrie, James Mathew",Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
460,154,2 / E,4600,808.0683 / G81,Cuentos,"Grim, Jacob y Wilhelm Karl Grim",Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
461,155,2 / E,4601,818.44 / T98,Las aventuras de Tom Sawyer,"Twain, Mark",Alianza Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
462,156,2 / E,4602,818.44 / T98A,Las aventura de Huckleberry Finn,"Twain, Mark",Alianza Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
463,157,2 / E,4616,818.44 / T98T,El forastero misterioso,Mark Twain,Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
464,158,2 / E,4647,818.5 / S79,El poni rojo,"Steinbeck, Jhon",Alianza Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
